id,model_state,date_created,date_modified,date_deleted,name,address,locality,lat,lng,active
82,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"ALVEAR 601,CHUBUT,COMODORO RIVADAVIA",INT,-45.8644441,-67.4971555,1
83,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"GARAY 1244,BUENOS AIRES,MAR DEL PLATA",GBA,-38.0054771,-57.5426106,1
84,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"24 DE SEPTIEMBRE 180,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO",INT,-27.7891355,-64.2591749,1
85,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"AV. ALVEAR 379,BUENOS AIRES,MARTINEZ",GBA,-34.5883569,-58.3881272,1
86,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"DIAGONAL 74 1484,BUENOS AIRES,LA PLATA",GBA,-34.9158264,-57.9547152,1
87,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,GIRO DIDACTICO,"JURAMENTO 2427,CAPITAL FEDERAL,CAPITAL FEDERAL",INT,-34.5620788,-58.4572238,1
88,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,COMPAÑIA DE JUGUETES,"GUEMES 702,JUJUY,SAN SALVADOR DE JUJUY",INT,-24.182942,-65.3030699,1
89,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,COMPAÑIA DE JUGUETES,"AV.VIRREY TOLEDO 702 Loc.121,SALTA,SALTA",INT,-24.7813068,-65.4027774,1
90,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,COMPAÑIA DE JUGUETES,"PARANA 3745  LOCAL 3021,BUENOS AIRES,MARTINEZ",GBA,-34.5086233,-58.52321,1
91,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,COMPAÑIA DE JUGUETES,"25 de MAYO 167,LA PAMPA,SANTA ROSA",INT,-36.6210202,-64.2886915,1
92,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,COMPAÑIA DE JUGUETES,"CTRO COMER ALTOS DEL SOLAR L5,CATAMARCA,SAN FERNANDO DEL VALLE DE CATAMARCA",INT,-28.4645658,-65.8012843,1
93,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,COMPAÑIA DE JUGUETES,"AV. CORONEL DIAZ 2089,CAPITAL FEDERAL,CAPITAL FEDERAL",CABA,-34.5878127,-58.4089342,1
94,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,COMPAÑIA DE JUGUETES,"AV. JOSE I DE LA ROZA 806,SAN JUAN,SAN JUAN",INT,-31.5378572,-68.5388619,1
95,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,COMPAÑIA DE JUGUETES,"FORMOSA 653 - LOCAL 2090,BUENOS AIRES,CANNING",GBA,-34.871276,-58.5111163,1
96,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,COMPAÑIA DE JUGUETES,"URUGUAY 1207,CAPITAL FEDERAL,CAPITAL FEDERAL",CABA,-34.604076,-58.3868214,1
97,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,COMPAÑIA DE JUGUETES,"SAN MARTIN 221,BUENOS AIRES,DOLORES",GBA,-36.3152317,-57.6753107,1
98,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,COMPAÑIA DE JUGUETES,"AV. CORREINTES 521,CAPITAL FEDERAL,CAPITAL FEDERAL",CABA,-34.6030632,-58.3741159,1
99,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,COMPAÑIA DE JUGUETES,"SARMIENTO 2153 LOCAL 199,BUENOS AIRES,BAHIA BLANCA",GBA,-38.7042555,-62.2913003,1
100,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,COMPAÑIA DE JUGUETES,"AV.ELCANO 3201,CAPITAL FEDERAL,CAPITAL FEDERAL",CABA,-34.5732881,-58.4598999,1
101,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,COMPAÑIA DE JUGUETES,"SAN NICOLAS 268,BUENOS AIRES,PERGAMINO",GBA,-33.8916753,-60.5715932,1
102,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,COMPAÑIA DE JUGUETES,"AV OLIVOS 4100 LOCAL 113,BUENOS AIRES,TORTUGUITAS",GBA,-34.4501436,-58.7251348,1
103,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,COMPAÑIA DE JUGUETES,"Blvd CHENAULT 1980  ESQ LM CAM,CAPITAL FEDERAL,CAPITAL FEDERAL",CABA,-34.6036844,-58.3815591,1
104,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,EDUCANDO,"F. ALCORTA Y SALGUERO N.3 L 27,CAPITAL FEDERAL,CAPITAL FEDERAL",CABA,-34.6036844,-58.3815591,1
105,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,EDUCANDO,"GÜEMES 3026,BUENOS AIRES,MAR DEL PLATA",INT,-38.0126863,-57.5503374,1
106,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,EDUCANDO,"JUAN B. JUSTO 1820,BUENOS AIRES,MAR DEL PLATA",INT,-38.0282607,-57.5591692,1
107,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,EDUCANDO,"RIVADAVIA 3067,BUENOS AIRES,MAR DEL PLATA",INT,-37.9978013,-57.5520598,1
108,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,EDUCANDO,"SARMIENTO 2685,BUENOS AIRES,MAR DEL PLATA",INT,-38.012144,-57.5438957,1
109,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,EDUCANDO,"SARMIENTO 2685,BUENOS AIRES,MAR DEL PLATA",INT,-38.012144,-57.5438957,1
110,1,2023-11-13 16:23:08,2023-11-13 16:23:08,2023-11-13 16:23:08,EDUCANDO,"SAN JUAN 1864,BUENOS AIRES,MAR DEL PLATA",INT,-38.0054771,-57.5426106,1
